foodChoice,length,sex
Invertebrates,1.3,M
Fish,1.32,M
Fish,1.32,M
Fish,1.4,M
Invertebrates,1.42,M
Fish,1.42,M
Invertebrates,1.47,M
Fish,1.47,M
Invertebrates,1.5,M
Invertebrates,1.52,M
Invertebrates,1.63,M
Other,1.65,M
Other,1.65,M
Invertebrates,1.65,M
Fish,1.65,M
Fish,1.68,M
Invertebrates,1.7,M
Other,1.73,M
Fish,1.78,M
Other,1.78,M
Fish,1.8,M
Fish,1.85,M
Invertebrates,1.93,M
Fish,1.93,M
Invertebrates,1.98,M
Fish,2.03,M
Fish,2.03,M
Fish,2.31,M
Fish,2.36,M
Fish,2.46,M
Other,3.25,M
Other,3.28,M
Fish,3.33,F
Fish,3.56,F
Fish,3.58,F
Fish,3.66,F
Other,3.68,F
Fish,3.71,F
Fish,3.89,F
Invertebrates,1.24,F
Invertebrates,1.3,F
Invertebrates,1.45,F
Other,1.45,F
Invertebrates,1.55,F
Invertebrates,1.6,F
Invertebrates,1.6,F
Fish,1.65,F
Invertebrates,1.78,F
Other,1.78,F
Invertebrates,1.8,F
Invertebrates,1.88,F
Fish,2.16,F
Fish,2.26,F
Fish,2.31,F
Fish,2.36,F
Fish,2.39,F
Fish,2.41,F
Fish,2.44,F
Other,2.56,F
Fish,2.67,F
Invertebrates,2.72,F
Fish,2.79,F
Fish,2.84,F
